,RA,DEC,logAge,FeH,E(B-V),r_logAge,r__M_H_,aperture,uJava,F378,F395,F410,F430,gSDSS,F515,rSDSS,F660,iSDSS,F861,zSDSS,e_uJava,e_F378,e_F395,e_F410,e_F430,e_gSDSS,e_F515,e_rSDSS,e_F660,e_iSDSS,e_F861,e_zSDSS
Bruck 100,15.099583,-72.089165,8.1,,0.0738,GGK10,,40,13.68,13.38,13.17,13.03,13.06,13.06,13.02,13.02,13.03,12.97,12.96,12.94,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Bruck 103,15.2375,-73.15361,8.43,-0.01,0.0855,GGK10.MPS14,PPV17,50,14.59,14.22,14.03,13.86,13.90,13.74,13.76,13.60,13.59,13.46,13.35,13.34,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13
Bruck 117,16.0525,-73.26056,8.3,,0.0949,GGK10,,40,14.69,14.31,14.08,13.84,13.85,13.70,13.65,13.42,13.38,13.23,13.10,13.09,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13
Bruck 119,16.080833,-73.16695,8.9,,0.0907,GGK10,,35,15.79,15.55,15.67,15.36,15.49,15.20,15.26,15.16,15.26,15.25,15.35,15.38,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Bruck 12,9.58625,-73.27111,9,,0.0831,CVH+06,,25,16.73,16.15,15.92,15.63,15.55,15.35,15.29,15.05,15.07,14.94,15.01,14.94,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Bruck 121,16.124582,-72.61916,8.07,,0.0918,GGK10.CVH+06.PU99,,40,13.95,13.70,13.51,13.30,13.29,13.22,13.18,13.09,13.10,13.06,13.09,13.04,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Bruck 124,16.259167,-73.04222,8.05,-0.18,0.0836,GGK10.MPS14,PPV17,30,14.80,14.49,14.34,14.24,14.25,14.19,14.19,14.07,14.07,14.04,14.03,14.03,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Bruck 128,16.4625,-71.9525,8.35,,0.0962,GGK10.CVH+06,,40,15.14,14.76,14.53,14.30,14.32,14.23,14.23,14.13,14.07,14.12,14.14,14.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Bruck 129,16.758333,-72.62194,8.2,,0.1045,GGK10.CVH+06.PU99,,60,13.92,13.67,13.36,13.18,13.20,13.05,13.01,12.72,12.70,12.28,12.12,12.02,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12
Bruck 139,17.610832,-71.56556,8.3,,0.072,GGK10,,40,15.31,14.94,14.68,14.45,14.49,14.42,14.41,14.34,14.38,14.41,14.52,14.51,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15
Bruck 149,18.646667,-72.99556,,,0.1022,,,30,14.62,14.44,14.48,14.16,14.13,14.04,13.97,13.88,13.89,13.88,13.92,13.91,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Bruck 155,20.09875,-74.003334,8.7,,0.1026,PdGR+15,,30,15.29,15.04,14.85,14.62,14.61,14.50,14.43,14.23,14.19,14.11,14.06,14.05,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Bruck 156,19.894583,-73.09639,7.5,,0.1226,GGK10,,40,13.35,13.36,13.43,13.41,13.50,13.67,13.75,13.97,14.05,14.15,14.24,14.22,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Bruck 18,10.276667,-72.72583,,,0.0822,,,20,16.69,16.40,16.44,15.85,15.81,15.47,15.33,15.03,14.99,14.91,14.93,14.91,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Bruck 33,11.0525,-73.619446,8.4,,0.0904,CVH+06,,30,15.69,15.45,15.26,15.04,15.06,15.00,15.01,14.97,15.03,15.00,15.21,15.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Bruck 41,11.36375,-73.70361,8,,0.0919,GGK10,,30,15.30,15.00,14.78,14.52,14.43,14.15,14.05,13.73,13.52,13.57,13.54,13.51,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Bruck 44,11.564583,-74.37778,,,0.0848,,,30,16.33,15.98,16.02,15.09,14.91,14.25,14.07,13.57,13.48,13.31,13.26,13.18,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13
Bruck 6,6.997917,-74.40111,8.11,-0.04,0.0887,DKB+16,DKB+16,35,15.26,15.18,15.07,14.95,15.02,15.10,15.12,15.30,15.23,15.54,15.72,15.90,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16
Bruck 70,13.359167,-71.7475,,,0.0866,,,30,15.66,15.38,15.33,14.86,14.79,14.45,14.27,13.98,13.92,13.79,13.74,13.70,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Bruck 71,13.325,-72.76667,7.4,,0.0981,GGK10.CVH+06.PU99,,50,12.07,12.03,11.94,11.83,11.83,11.66,11.56,11.16,11.07,10.92,10.69,10.71,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11
Bruck 79,13.697917,-72.465836,7.47,,0.089,GGK10.CVH+06.PU99,,45,12.37,12.10,11.97,11.85,11.90,11.99,12.00,12.17,12.20,12.30,12.40,12.40,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Bruck 81,13.872083,-71.88556,7.8,,0.0842,GGK10,,45,12.43,12.07,11.99,11.95,12.01,12.13,12.17,12.37,12.45,12.57,12.66,12.67,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13
Bruck 82,13.90125,-71.9825,8,,0.0814,GGK10,,40,13.68,13.53,13.46,13.34,13.36,13.29,13.27,13.08,13.00,12.92,12.89,12.84,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Bruck 87,14.026667,-73.776665,,,0.0801,,,30,15.71,15.06,14.78,14.57,14.59,14.51,14.49,14.47,14.52,14.51,14.56,14.63,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15
Bruck 92,14.547917,-72.00166,7.3,,0.077,GGK10,,40,13.54,12.99,12.80,12.72,12.78,12.88,12.90,13.09,13.22,13.28,13.36,13.37,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Bruck 96,14.807083,-72.60833,8.3,,0.1166,GGK10.CVH+06.PU99,,55,14.03,13.61,13.36,13.12,13.13,13.01,12.95,12.83,12.79,12.76,12.77,12.74,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Bruck 99,15.117917,-73.08611,8.23,-0.84,0.0823,CVH+06.PU99.MPS14,PGC+15,45,14.85,14.32,14.21,13.92,13.86,13.67,13.67,13.42,13.42,13.31,13.31,13.29,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13
Cl Kron 11,9.113333,-72.47833,9.17,-0.78,0.0924,DKB+16,DKB+16,60,15.80,15.41,15.42,14.83,14.80,14.42,14.31,14.01,13.96,13.87,13.90,13.85,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Cl Kron 17,10.255,-72.57278,8.55,,0.0763,GGK10,,60,14.09,13.61,13.25,12.94,12.94,12.77,12.69,12.56,12.56,12.52,12.56,12.53,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Cl Kron 21,10.350833,-72.89083,9.66,-1.14,0.0863,PGC+14,PGG+09,140,13.06,12.68,12.61,12.18,12.08,11.70,11.60,11.24,11.23,11.05,11.06,11.01,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11
