object,burst:age_16,burst:age_50,burst:age_84,burst:metallicity_16,burst:metallicity_50,burst:metallicity_84,chisq_phot
Bruck 100_MC0094,0.11,0.14,0.20,0.1410,0.5115,0.8691,1.47
Bruck 103_MC0115,0.38,0.73,0.96,0.0296,0.1077,0.3066,4.21
Bruck 117_MC0115,0.81,1.18,2.18,0.0077,0.0712,0.2627,1.67
Bruck 119_MC0115,0.09,0.14,0.20,0.1327,0.4942,0.8614,10.49
Bruck 12_MC0114,0.62,0.79,1.07,0.1352,0.4793,0.8236,1.28
Bruck 121_MC0095,0.21,0.27,0.46,0.0677,0.2328,0.6239,3.52
Bruck 124_MC0115,0.13,0.18,0.26,0.0933,0.3418,0.8100,3.89
Bruck 128_MC0095,0.21,0.27,0.46,0.0653,0.2750,0.6974,1.46
Bruck 129_MC0095,1.82,4.18,6.99,0.0037,0.0159,0.0749,15.32
Bruck 139_MC0072,0.14,0.19,0.29,0.0464,0.3732,0.7501,1.94
Bruck 149_MC0116,0.21,0.33,0.80,0.0222,0.1582,0.5141,9.51
Bruck 155_MC0116,0.72,0.96,1.36,0.0102,0.0655,0.1831,1.56
Bruck 156_MC0116,0.01,0.01,0.02,0.0121,0.0344,0.0536,2.14
Bruck 18_MC0093,1.67,4.45,8.50,0.0295,0.0787,0.2284,5.76
Bruck 33_MC0114,0.08,0.11,0.17,0.1517,0.4267,0.8066,3.60
Bruck 41_MC0114,1.74,3.72,7.13,0.0151,0.0569,0.1500,2.16
Bruck 44_MC0134,8.82,10.95,12.64,0.7127,0.8528,0.9480,10.44
Bruck 6_MC0133,0.01,0.02,0.04,0.0039,0.0208,0.0768,5.73
Bruck 70_MC0094,2.06,5.51,10.36,0.0431,0.1031,0.2284,2.06
Bruck 71_MC0094,3.61,5.12,6.79,0.0023,0.0066,0.0158,23.21
Bruck 79_MC0094,0.02,0.03,0.05,0.0123,0.0292,0.0974,1.26
Bruck 81_MC0094,0.02,0.04,0.05,0.0029,0.0083,0.0545,0.39
Bruck 82_MC0094,0.28,0.74,0.94,0.0187,0.0692,0.2600,14.92
Bruck 87_MC0115,0.19,0.27,0.45,0.0417,0.2800,0.7230,1.74
Bruck 92_MC0094,0.05,0.07,0.08,0.0026,0.0078,0.0143,1.54
Bruck 96_MC0094,0.37,0.61,0.87,0.0393,0.1394,0.5470,0.57
Bruck 99_MC0115,0.66,0.92,1.25,0.0344,0.1602,0.4861,1.22
Cl Kron 11_MC0093,1.49,3.35,7.76,0.0514,0.1243,0.3045,5.38
Cl Kron 17_MC0093,0.47,0.54,0.67,0.2411,0.5131,0.8376,1.62
Cl Kron 21_MC0114,1.88,5.06,9.99,0.0464,0.1012,0.2761,2.81
Cl Kron 29_MC0115,0.18,0.23,0.34,0.0633,0.2769,0.6962,2.89
Cl Kron 34_MC0094,0.25,0.32,0.49,0.0764,0.2569,0.7113,1.03
Cl Kron 42_MC0094,0.02,0.03,0.06,0.1150,0.3868,0.5673,0.20
Cl Kron 44_MC0115,3.30,6.06,10.10,0.1854,0.2720,0.4841,2.70
Cl Kron 47_MC0095,0.01,0.02,0.02,0.0159,0.0429,0.0744,0.53
Cl Kron 54_MC0095,5.88,8.84,11.68,0.0179,0.0387,0.0758,47.77
Cl Kron 55_MC0116,0.20,0.26,0.49,0.0379,0.2446,0.7002,1.76
Cl Kron 61_MC0116,0.28,0.65,0.89,0.0170,0.0704,0.3157,8.52
Cl Kron 63_MC0095,0.19,0.25,0.41,0.0558,0.3279,0.7409,0.69
Cl Kron 68_MC0095,0.04,0.06,0.08,0.0052,0.0138,0.0366,4.08
Cl Lindsay 100_MC0095,1.14,2.86,6.50,0.0368,0.1019,0.4605,4.13
Cl Lindsay 39_MC0115,0.01,0.01,0.02,0.0103,0.0230,0.0429,1.47
Cl Lindsay 41_MC0094,0.06,0.08,0.10,0.0789,0.3380,0.5222,2.22
Cl Lindsay 48_MC0071,0.03,0.04,0.05,0.0017,0.0052,0.0108,2.64
Cl Lindsay 52_MC0115,0.17,0.22,0.35,0.0621,0.2972,0.6735,1.91
Cl Lindsay 56_MC0094,0.01,0.02,0.02,0.0378,0.1074,0.2230,0.69
Cl Lindsay 66_MC0094,0.03,0.05,0.06,0.0021,0.0069,0.0126,0.45
HW11_MC0114,0.49,0.66,0.95,0.0852,0.2224,0.6191,1.64
HW31_MC0115,2.75,5.22,9.17,0.2143,0.3331,0.6698,0.49
HW37_MC0094,0.04,0.06,0.08,0.1168,0.3791,0.6201,1.01
HW39_MC0094,0.26,0.35,0.79,0.0423,0.2042,0.6080,7.02
HW40_MC0072,1.85,4.21,9.53,0.1239,0.2223,0.5388,1.77
HW43_MC0094,0.12,0.16,0.22,0.0651,0.4025,0.8067,1.73
HW46_MC0115,4.16,6.44,10.32,0.0150,0.0437,0.1000,6.58
HW48_MC0115,0.05,0.07,0.09,0.0258,0.0780,0.4193,2.57
HW52_MC0116,0.06,0.07,0.10,0.1885,0.4446,0.6805,0.32
HW61_MC0095,0.15,0.20,0.29,0.0526,0.3187,0.7216,2.49
HW64_MC0072,0.02,0.04,0.06,0.0044,0.0123,0.0617,1.92
HW70_MC0095,0.17,0.25,0.40,0.0705,0.2548,0.6758,5.46
HW78_MC0116,0.01,0.01,0.01,0.0013,0.0047,0.0124,0.43
IC1611_MC0094,0.12,0.16,0.22,0.0848,0.3820,0.7812,1.90
IC1624_MC0095,0.07,0.09,0.11,0.1721,0.3836,0.6639,1.45
IC1626_MC0116,0.24,0.31,0.50,0.0898,0.2773,0.7687,0.78
IC1641_MC0095,0.17,0.23,0.41,0.0403,0.3129,0.7261,2.08
IC1655_MC0072,0.14,0.17,0.22,0.1060,0.4383,0.8031,1.44
IC1660_MC0095,0.10,0.13,0.17,0.1727,0.4512,0.7674,1.75
IC1662_MC0116,0.02,0.03,0.05,0.0105,0.0299,0.1256,1.29
NGC152_MC0114,1.60,3.89,10.07,0.0960,0.1762,0.5987,0.66
NGC176_MC0114,0.04,0.06,0.08,0.0029,0.0093,0.0158,0.64
NGC231_MC0114,0.13,0.17,0.22,0.0608,0.4103,0.7866,1.73
NGC256_MC0114,0.12,0.16,0.21,0.1277,0.4902,0.8301,0.79
NGC265_MC0115,0.27,0.37,0.73,0.0492,0.2099,0.5914,1.17
