object,16_FeH,50_FeH,84_FeH,16_logAge,50_logAge,84_logAge
Bruck 100,-1.00,-0.60,-0.10,7.35,7.90,8.20
Bruck 103,-0.80,-0.40,0.00,8.15,8.40,8.70
Bruck 117,-1.61,-1.20,-0.60,8.70,9.05,9.20
Bruck 119,-1.20,-0.60,-0.10,7.00,7.40,8.10
Bruck 12,-1.80,-1.10,0.00,9.00,9.10,9.45
Bruck 121,-1.31,-0.70,-0.10,8.00,8.30,8.55
Bruck 124,-0.90,-0.60,0.00,7.35,7.90,8.25
Bruck 128,-1.40,-0.80,-0.20,8.20,8.45,8.75
Bruck 129,-1.50,-1.20,-0.40,8.65,9.00,9.20
Bruck 139,-1.70,-1.20,-0.40,8.10,8.40,8.70
Bruck 149,-1.40,-0.70,-0.10,7.40,8.10,8.35
Bruck 155,-1.50,-0.80,-0.40,8.35,8.65,9.10
Bruck 156,-1.80,-1.20,-0.90,7.00,7.00,7.10
Bruck 18,-2.10,-1.70,-1.00,9.20,9.70,9.85
Bruck 33,-1.50,-1.10,-0.20,7.40,8.05,8.35
Bruck 41,-2.10,-1.80,-1.10,9.15,9.70,9.90
Bruck 44,-0.30,-0.20,0.00,10.00,10.10,10.10
Bruck 6,-2.10,-1.10,-0.70,7.10,7.25,7.80
Bruck 70,-2.10,-1.50,-0.90,9.20,9.75,9.90
Bruck 71,-0.60,-0.50,-0.20,7.40,8.35,8.55
Bruck 79,-2.01,-1.20,-0.50,7.00,7.50,7.95
Bruck 81,-1.80,-1.00,-0.50,7.00,7.20,7.70
Bruck 82,-0.60,-0.40,0.00,7.30,7.40,7.90
Bruck 87,-1.90,-1.00,0.00,8.50,8.70,9.05
Bruck 92,-2.01,-1.20,-0.20,7.00,7.75,8.15
Bruck 96,-1.70,-1.10,-0.50,8.50,8.90,9.10
Bruck 99,-1.80,-1.40,-0.80,9.00,9.15,9.35
Cl Kron 11,-1.90,-1.31,-0.30,9.20,9.75,9.90
Cl Kron 17,-1.61,-0.70,0.00,8.90,9.10,9.20
Cl Kron 21,-1.70,-1.31,-0.50,9.20,9.75,9.95
Cl Kron 29,-1.31,-0.80,-0.20,8.10,8.35,8.55
Cl Kron 34,-1.50,-0.80,-0.30,8.40,8.65,8.95
Cl Kron 42,-1.00,-0.50,-0.20,7.00,7.25,7.40
Cl Kron 44,-1.20,-0.90,-0.40,9.50,10.00,10.10
Cl Kron 47,-2.01,-1.20,-0.70,7.05,7.15,7.45
Cl Kron 54,-0.70,-0.60,-0.30,7.40,8.40,8.65
Cl Kron 55,-1.80,-1.20,-0.30,8.40,8.65,8.95
Cl Kron 61,-1.20,-0.70,-0.20,7.45,8.10,8.45
Cl Kron 63,-1.80,-1.00,-0.10,8.35,8.60,8.95
Cl Kron 68,-2.10,-1.80,-0.30,7.10,7.95,8.25
Cl Lindsay 100,-1.90,-1.40,-0.20,9.15,9.65,9.80
Cl Lindsay 39,-1.40,-1.00,-0.80,7.00,7.00,7.15
Cl Lindsay 41,-2.10,-1.20,-0.10,7.30,8.05,8.40
Cl Lindsay 48,-2.10,-1.61,-0.90,7.15,7.65,7.90
Cl Lindsay 52,-1.50,-0.90,-0.30,8.15,8.40,8.65
Cl Lindsay 56,-1.50,-0.90,-0.40,7.05,7.20,7.55
Cl Lindsay 66,-2.01,-1.40,-0.60,7.10,7.60,7.85
